"filename", "language", "JSON", "HTML", "TypeScript", "TOML", "Markdown", "JSON with Comments", "YAML", "Rust", "JavaScript", "PowerShell", "vue", "PostCSS", "XML", "comment", "blank", "total"
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\assets\import.worker.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\assets\importPipeline.ts", "TypeScript", 0, 0, 184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 205
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\assets\main.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 246, 0, 0, 24, 270
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\assets\projectFolder.ts", "TypeScript", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 61
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\assets\types.ts", "TypeScript", 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 122
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\components\ActionBar.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 8, 74
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\components\AnimationPanel.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 178, 0, 0, 0, 15, 193
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\components\BuildSettingsPanel.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 8, 111
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\components\CommandPalette.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 8, 105
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\components\ConfigPanel.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 696, 0, 0, 0, 35, 731
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\components\ConfirmDialog.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 7, 57
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\components\ConnectionBuilder.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 496, 0, 0, 0, 38, 534
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\components\ConsolePanel.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 5, 59
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\components\ContextMenu.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 7, 92
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\components\EditorBottomPanel.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 402, 0, 0, 0, 15, 417
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\components\LayerBar.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\components\ManualViewer.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 4, 23
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\components\PackageManagerPanel.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 4, 154
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\components\PhysicsRuntimePanel.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 131, 0, 0, 0, 9, 140
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\components\PluginSettings.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 6, 67
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\components\PresentationPanel.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 136, 0, 0, 0, 10, 146
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\components\ProfilerPanel.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 260, 0, 0, 0, 18, 278
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\components\ProjectManager.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 0, 0, 0, 10, 124
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\components\RenderingPanel.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 7, 96
